GEOID,Geography,median_income,distance_to_metro,drive_alone,carpool,public_transit,bicycle,walk,work_from_home
11001000100,"Census Tract 1, District of Columbia, District of Columbia",168.477,0.5658132982,32.4,2.2,17.7,8.6,21.1,13.8
11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",,0.8723435125,1.2,3.1,3.8,0.0,76.6,8.3
11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",162.981,0.5696664701,24.5,1.4,26.5,5.2,34.8,6.6
11001000300,"Census Tract 3, District of Columbia, District of Columbia",133.008,1.282766999,42.4,6.5,21.1,2.9,18.3,7.8
11001000400,"Census Tract 4, District of Columbia, District of Columbia",143.229,0.6041190467,39.0,10.0,13.4,1.1,12.8,20.8
11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",109.081,0.06841328384,31.0,5.0,45.9,5.0,8.5,2.9
11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",129.779,0.4395857547,29.2,7.5,45.1,3.1,3.1,10.6
11001000600,"Census Tract 6, District of Columbia, District of Columbia",221.103,0.3259703902,43.2,2.3,39.2,3.4,2.2,5.5
11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",89.889,1.032061373,38.6,13.9,26.1,0.8,9.4,7.7
11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",71.671,1.302063355,36.1,2.4,38.7,2.1,15.2,4.9
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",148.456,2.113393052,56.9,12.0,13.1,2.1,6.3,6.8
11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",99.808,1.175354316,48.4,11.0,16.7,6.1,4.3,12.1
11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",242.208,1.341645641,35.1,9.5,13.9,1.9,17.5,19.1
11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",205.469,2.178960691,60.0,10.8,7.8,4.1,2.8,13.3
11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",164.18,0.4019207525,38.4,8.5,33.4,6.1,6.0,6.7
11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",99.167,0.6746426347,42.3,2.6,37.7,1.4,10.0,4.0
11001001100,"Census Tract 11, District of Columbia, District of Columbia",154.156,0.4880591457,35.8,2.3,39.7,1.2,5.8,13.6
11001001200,"Census Tract 12, District of Columbia, District of Columbia",125.179,0.348552605,36.3,7.7,39.1,1.2,6.5,7.9
11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",134.282,0.8366742591,39.2,5.1,42.7,0.6,2.2,4.8
11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",113.3,0.4855056097,33.2,1.7,49.1,1.7,6.2,7.6
11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",120.526,0.8613832441,42.8,8.2,34.0,2.4,2.3,9.6
11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",111.361,0.9958236617,40.0,14.6,22.3,1.9,2.7,14.9
11001001500,"Census Tract 15, District of Columbia, District of Columbia",205.159,1.50660459,51.9,14.3,18.7,1.3,1.9,10.9
11001001600,"Census Tract 16, District of Columbia, District of Columbia",169.25,1.138179977,64.9,7.2,20.7,1.4,0.5,5.3
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",91.711,0.2928444729,31.1,3.5,48.1,1.7,2.6,12.9
11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",51.182,1.455287563,47.2,6.3,36.4,0.0,2.9,7.3
11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",42.579,0.8692558942,52.9,7.1,34.2,0.0,0.6,2.6
11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",82.963,0.8112401099,48.7,4.8,31.7,3.8,2.2,7.0
