Id2,Geography,under_15_percent,15_to_29_percent,30_to_59_percent,60_to_89_percent,90_plus_percent
11001000100,"Census Tract 1, Washington, District of Columbia",16.7,48.3,30.0,3.7,1.2
11001000201,"Census Tract 2.01, Washington, District of Columbia",77.0,14.3,7.7,0.0,1.0
11001000202,"Census Tract 2.02, Washington, District of Columbia",33.0,41.6,22.0,1.5,1.8
11001000300,"Census Tract 3, Washington, District of Columbia",18.0,43.9,34.6,3.4,0.0
11001000400,"Census Tract 4, Washington, District of Columbia",14.6,47.8,33.6,3.0,1.1
11001000501,"Census Tract 5.01, Washington, District of Columbia",8.2,36.5,49.1,4.8,1.4
11001000502,"Census Tract 5.02, Washington, District of Columbia",8.1,41.9,45.8,4.2,0.0
11001000600,"Census Tract 6, Washington, District of Columbia",6.8,44.6,43.7,3.8,1.1
11001000701,"Census Tract 7.01, Washington, District of Columbia",7.4,55.3,34.5,2.3,0.5
11001000702,"Census Tract 7.02, Washington, District of Columbia",14.6,27.9,48.3,9.1,0.0
11001000801,"Census Tract 8.01, Washington, District of Columbia",13.3,41.4,39.2,4.0,2.0
11001000802,"Census Tract 8.02, Washington, District of Columbia",16.8,46.2,34.5,1.9,0.5
11001000901,"Census Tract 9.01, Washington, District of Columbia",25.9,36.3,33.2,2.9,1.8
11001000902,"Census Tract 9.02, Washington, District of Columbia",12.7,52.7,32.0,1.2,1.5
11001001001,"Census Tract 10.01, Washington, District of Columbia",10.6,25.8,58.9,3.6,1.2
11001001002,"Census Tract 10.02, Washington, District of Columbia",15.7,28.3,47.6,6.9,1.5
11001001100,"Census Tract 11, Washington, District of Columbia",6.8,34.5,53.8,2.9,2.0
11001001200,"Census Tract 12, Washington, District of Columbia",10.0,29.9,55.5,4.5,0.0
11001001301,"Census Tract 13.01, Washington, District of Columbia",7.7,29.7,52.3,9.7,0.6
11001001302,"Census Tract 13.02, Washington, District of Columbia",9.5,44.4,38.5,6.6,1.0
11001001401,"Census Tract 14.01, Washington, District of Columbia",4.7,30.7,59.0,5.2,0.4
11001001402,"Census Tract 14.02, Washington, District of Columbia",10.2,31.2,54.6,2.5,1.4
11001001500,"Census Tract 15, Washington, District of Columbia",13.1,26.8,55.5,4.0,0.6
11001001600,"Census Tract 16, Washington, District of Columbia",5.8,32.3,52.4,7.5,2.1
11001001702,"Census Tract 17.02, Washington, District of Columbia",4.7,27.6,55.9,11.3,0.5
11001001803,"Census Tract 18.03, Washington, District of Columbia",5.7,31.4,51.0,8.0,3.9
11001001804,"Census Tract 18.04, Washington, District of Columbia",12.0,23.0,60.0,3.4,1.6
11001001901,"Census Tract 19.01, Washington, District of Columbia",3.7,25.3,57.6,10.2,3.2
11001001902,"Census Tract 19.02, Washington, District of Columbia",5.8,18.5,65.1,5.6,4.9
11001002001,"Census Tract 20.01, Washington, District of Columbia",8.2,34.1,51.1,5.4,1.3
11001002002,"Census Tract 20.02, Washington, District of Columbia",11.0,32.8,46.5,6.5,3.2
11001002101,"Census Tract 21.01, Washington, District of Columbia",6.4,32.8,50.4,7.6,2.7
11001002102,"Census Tract 21.02, Washington, District of Columbia",6.0,34.6,48.8,9.5,1.2
11001002201,"Census Tract 22.01, Washington, District of Columbia",4.5,40.8,43.9,10.0,0.8
